,week,active_devs,week_label
0,2020-02-03,754470.0,Feb_1st_week
1,2020-02-10,780056.0,Feb_2nd_week
2,2020-02-17,803582.0,Feb_3rd_week
3,2020-02-24,817007.0,Feb_4th_week
4,2020-03-02,839663.0,Mar_1st_week
5,2020-03-09,828848.0,Mar_2nd_week
6,2020-03-16,826452.0,Mar_3rd_week
7,2020-03-23,879510.0,Mar_4th_week
8,2020-03-30,908584.0,Mar_5th_week
9,2020-04-06,915793.0,Apr_1st_week
10,2020-04-13,962715.0,Apr_2nd_week
11,2020-04-20,968899.0000000001,Apr_3rd_week
12,2020-04-27,1241073.75,Apr_4th_week
